Episode, CL, CD, cl_cd, Objective, Objective_Value, Reward, Invalid_code, Failed 
213,,,0,cl_cd,-100,-100,1,1
214,,,0,cl_cd,-100,-100,1,1
215,,,0,cl_cd,-100,-100,1,1
216,,,0,cl_cd,-100,-100,1,1
217,,,0,cl_cd,-100,-100,1,1
218,,,0,cl_cd,-100,-100,1,1
219,,,0,cl_cd,-100,-100,1,1
220,,,0,cl_cd,-100,-100,1,1
221,,,0,cl_cd,-100,-100,1,1
222,,,0,cl_cd,-100,-100,1,1
223,,,0,cl_cd,-100,-100,1,1
224,,,0,cl_cd,-100,-100,1,1
225,,,0,cl_cd,-100,-100,1,1
226,,,0,cl_cd,-100,-100,1,1
227,,,0,cl_cd,-100,-100,1,1
228,,,0,cl_cd,-100,-100,1,1
229,,,0,cl_cd,-100,-100,1,1
230,,,0,cl_cd,-100,-100,1,1
231,,,0,cl_cd,-100,-100,1,1
232,,,0,cl_cd,-100,-100,1,1
233,,,0,cl_cd,-100,-100,1,1
234,,,0,cl_cd,-100,-100,1,1
235,,,0,cl_cd,-100,-100,1,1
236,,,0,cl_cd,-100,-100,1,1
237,,,0,cl_cd,-100,-100,1,1
238,,,0,cl_cd,-100,-100,1,1
239,,,0,cl_cd,-100,-100,1,1
240,,,0,cl_cd,-100,-100,1,1
241,,,0,cl_cd,-100,-100,1,1
242,,,0,cl_cd,-100,-100,1,1
243,,,0,cl_cd,-100,-100,1,1
244,,,0,cl_cd,-100,-100,1,1
245,,,0,cl_cd,-100,-100,1,1
246,,,0,cl_cd,-100,-100,1,1
247,,,0,cl_cd,-100,-100,1,1
248,,,0,cl_cd,-100,-100,1,1
249,,,0,cl_cd,-100,-100,1,1
250,,,0,cl_cd,-100,-100,1,1
251,,,0,cl_cd,-100,-100,1,1
252,,,0,cl_cd,-100,-100,1,1
253,,,0,cl_cd,-100,-100,1,1
254,,,0,cl_cd,-100,-100,1,1
255,,,0,cl_cd,-100,-100,1,1
256,,,0,cl_cd,-100,-100,1,1
257,,,0,cl_cd,-100,-100,1,1
258,,,0,cl_cd,-100,-100,1,1
259,,,0,cl_cd,-100,-100,1,1
260,,,0,cl_cd,-100,-100,1,1
261,,,0,cl_cd,-100,-100,1,1
262,,,0,cl_cd,-100,-100,1,1
263,,,0,cl_cd,-100,-100,1,1
264,,,0,cl_cd,-100,-100,1,1
265,,,0,cl_cd,-100,-100,1,1
266,,,0,cl_cd,-100,-100,1,1
267,,,0,cl_cd,-100,-100,1,1
268,,,0,cl_cd,-100,-100,1,1
269,,,0,cl_cd,-100,-100,1,1
270,,,0,cl_cd,-100,-100,1,1
271,,,0,cl_cd,-100,-100,1,1
272,,,0,cl_cd,-100,-100,1,1
273,,,0,cl_cd,-100,-100,1,1
274,,,0,cl_cd,-100,-100,1,1
275,,,0,cl_cd,-100,-100,1,1
276,,,0,cl_cd,-100,-100,1,1
277,,,0,cl_cd,-100,-100,1,1
278,,,0,cl_cd,-100,-100,1,1
279,,,0,cl_cd,-100,-100,1,1
280,,,0,cl_cd,-100,-100,1,1
281,,,0,cl_cd,-100,-100,1,1
282,,,0,cl_cd,-100,-100,1,1
283,,,0,cl_cd,-100,-100,1,1
284,,,0,cl_cd,-100,-100,1,1
285,,,0,cl_cd,-100,-100,1,1
