Episode, CL, CD, cl_cd, Objective, Objective_Value, Reward, Invalid_code, Failed 
503,,,0,cl_cd,-100,-100,1,1
504,,,0,cl_cd,-100,-100,1,1
505,,,0,cl_cd,-100,-100,1,1
506,,,0,cl_cd,-100,-100,1,1
507,,,0,cl_cd,-100,-100,1,1
508,,,0,cl_cd,-100,-100,1,1
509,,,0,cl_cd,-100,-100,1,1
510,,,0,cl_cd,-100,-100,1,1
511,,,0,cl_cd,-100,-100,1,1
512,,,0,cl_cd,-100,-100,1,1
513,,,0,cl_cd,-100,-100,1,1
514,,,0,cl_cd,-100,-100,1,1
515,,,0,cl_cd,-100,-100,1,1
516,,,0,cl_cd,-100,-100,1,1
517,,,0,cl_cd,-100,-100,1,1
518,,,0,cl_cd,-100,-100,1,1
519,,,0,cl_cd,-100,-100,1,1
520,,,0,cl_cd,-100,-100,1,1
521,,,0,cl_cd,-100,-100,1,1
522,,,0,cl_cd,-100,-100,1,1
523,,,0,cl_cd,-100,-100,1,1
524,,,0,cl_cd,-100,-100,1,1
525,,,0,cl_cd,-100,-100,1,1
526,,,0,cl_cd,-100,-100,1,1
527,,,0,cl_cd,-100,-100,1,1
528,,,0,cl_cd,-100,-100,1,1
529,,,0,cl_cd,-100,-100,1,1
530,,,0,cl_cd,-100,-100,1,1
531,,,0,cl_cd,-100,-100,1,1
532,,,0,cl_cd,-100,-100,1,1
533,,,0,cl_cd,-100,-100,1,1
534,,,0,cl_cd,-100,-100,1,1
535,,,0,cl_cd,-100,-100,1,1
536,,,0,cl_cd,-100,-100,1,1
537,,,0,cl_cd,-100,-100,1,1
538,,,0,cl_cd,-100,-100,1,1
539,,,0,cl_cd,-100,-100,1,1
540,,,0,cl_cd,-100,-100,1,1
541,,,0,cl_cd,-100,-100,1,1
542,,,0,cl_cd,-100,-100,1,1
543,,,0,cl_cd,-100,-100,1,1
544,,,0,cl_cd,-100,-100,1,1
545,,,0,cl_cd,-100,-100,1,1
546,,,0,cl_cd,-100,-100,1,1
547,,,0,cl_cd,-100,-100,1,1
548,,,0,cl_cd,-100,-100,1,1
549,,,0,cl_cd,-100,-100,1,1
550,,,0,cl_cd,-100,-100,1,1
551,,,0,cl_cd,-100,-100,1,1
552,,,0,cl_cd,-100,-100,1,1
553,,,0,cl_cd,-100,-100,1,1
554,,,0,cl_cd,-100,-100,1,1
555,,,0,cl_cd,-100,-100,1,1
556,,,0,cl_cd,-100,-100,1,1
557,,,0,cl_cd,-100,-100,1,1
558,,,0,cl_cd,-100,-100,1,1
559,,,0,cl_cd,-100,-100,1,1
560,,,0,cl_cd,-100,-100,1,1
561,,,0,cl_cd,-100,-100,1,1
562,,,0,cl_cd,-100,-100,1,1
563,,,0,cl_cd,-100,-100,1,1
564,,,0,cl_cd,-100,-100,1,1
565,,,0,cl_cd,-100,-100,1,1
566,,,0,cl_cd,-100,-100,1,1
567,,,0,cl_cd,-100,-100,1,1
568,,,0,cl_cd,-100,-100,1,1
569,,,0,cl_cd,-100,-100,1,1
570,,,0,cl_cd,-100,-100,1,1
571,,,0,cl_cd,-100,-100,1,1
572,,,0,cl_cd,-100,-100,1,1
573,,,0,cl_cd,-100,-100,1,1
574,,,0,cl_cd,-100,-100,1,1
575,,,0,cl_cd,-100,-100,1,1
576,,,0,cl_cd,-100,-100,1,1
577,,,0,cl_cd,-100,-100,1,1
578,,,0,cl_cd,-100,-100,1,1
579,,,0,cl_cd,-100,-100,1,1
580,,,0,cl_cd,-100,-100,1,1
581,,,0,cl_cd,-100,-100,1,1
582,,,0,cl_cd,-100,-100,1,1
583,,,0,cl_cd,-100,-100,1,1
584,,,0,cl_cd,-100,-100,1,1
585,,,0,cl_cd,-100,-100,1,1
586,,,0,cl_cd,-100,-100,1,1
587,,,0,cl_cd,-100,-100,1,1
588,,,0,cl_cd,-100,-100,1,1
589,,,0,cl_cd,-100,-100,1,1
590,,,0,cl_cd,-100,-100,1,1
591,,,0,cl_cd,-100,-100,1,1
592,,,0,cl_cd,-100,-100,1,1
593,,,0,cl_cd,-100,-100,1,1
594,,,0,cl_cd,-100,-100,1,1
595,,,0,cl_cd,-100,-100,1,1
596,,,0,cl_cd,-100,-100,1,1
597,,,0,cl_cd,-100,-100,1,1
598,,,0,cl_cd,-100,-100,1,1
599,,,0,cl_cd,-100,-100,1,1
600,,,0,cl_cd,-100,-100,1,1
601,,,0,cl_cd,-100,-100,1,1
602,,,0,cl_cd,-100,-100,1,1
603,,,0,cl_cd,-100,-100,1,1
604,,,0,cl_cd,-100,-100,1,1
605,,,0,cl_cd,-100,-100,1,1
606,,,0,cl_cd,-100,-100,1,1
607,,,0,cl_cd,-100,-100,1,1
608,,,0,cl_cd,-100,-100,1,1
609,,,0,cl_cd,-100,-100,1,1
610,,,0,cl_cd,-100,-100,1,1
611,,,0,cl_cd,-100,-100,1,1
612,,,0,cl_cd,-100,-100,1,1
613,,,0,cl_cd,-100,-100,1,1
